country_name,country_code,year,adult_obesity_pct,fruits,non_starchy_vegetables,potatoes,other_starchy_vegetables,beans_and_legumes,nuts_and_seeds,refined_grains,whole_grains,total_processed_meats,unprocessed_red_meats,total_seafoods,eggs,cheese,yoghurt_including_fermented_milk_,sugar_sweetened_beverages,fruit_juices,coffee,tea,total_carbohydrates,total_protein,saturated_fat,monounsaturated_fatty_acids,total_omega_6_fat,seafood_omega_3_fat,plant_omega_3_fat,dietary_cholesterol,dietary_fiber,added_sugars,calcium,dietary_sodium,iodine,iron,magnesium,potassium,selenium,vitamin_a_w_supplements,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b6,vitamin_b9_folate_,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,zinc,total_milk
Argentina,ARG,1990,16.45,91.03609108,125.1677928,78.66720666,8.645788412,3.41015866,0.6970277305,90.28453967,3.006166187,14.33772598,68.56169237,9.686707479,7.113376074,24.35932566,36.17028759,137.7523919,11.17704023,0.1676908208,0.5465889898,49.8947941,73.73612204,10.49596071,11.08415104,2.611603223,52.83497747,363.8395411,231.017978,8.466397549,6.711268399,458.8150906,1591.709797,143.2769916,13.00064724,181.8115795,1549.583887,101.641695,959.052623,1.142149656,1.381325538,7.885183953,1.21992112,411.4393551,3.787056641,53.17243934,2.628156717,8.652182637,7.710274334,134.9594883
Argentina,ARG,1995,18.5,95.81820639,140.5180596,144.9106212,8.216766319,3.139180062,1.049238708,68.70229619,3.918605263,15.10141191,63.18599285,12.1013419,5.387832113,30.55653843,39.52175404,188.3014302,10.35560773,0.1834982585,0.5626228203,49.43786971,76.9959396,11.26030584,11.08709187,2.64965238,117.8750495,420.465551,219.2684076,13.49554619,9.94196108,599.2106748,1630.409027,140.2329639,12.53944237,188.802338,1765.296502,104.2744179,911.268901,1.167306964,1.432129599,17.05716451,1.23033511,453.5948805,3.841897078,67.55436671,2.914981553,9.046713521,7.693365975,222.6500909
Argentina,ARG,2000,20.6,97.52276557,126.4765246,102.585269,6.543042004,3.369560933,1.226179892,85.55683956,14.13691845,19.33099967,69.02453529,11.42089305,6.482256671,33.31630237,40.77638653,197.5586281,10.08386604,0.1864336824,0.5697096352,49.51472968,80.05959065,11.34086361,11.07037296,2.636521062,90.83744035,402.2785756,227.3581109,14.00607457,10.5022813,683.6166242,1661.142773,144.2165892,12.22729102,191.3080906,1789.038006,104.4365715,959.8755856,1.200924733,1.462684585,22.14310163,1.233343022,468.0468911,3.876730215,71.00693024,2.953877641,9.697560545,8.828589806,247.6393509
Argentina,ARG,2005,22.85,97.24322082,126.5284585,53.57650055,8.383281093,3.714604934,0.7712625536,115.5727111,12.19815076,21.35916764,63.93136277,10.58909253,8.393083113,28.6860917,39.75366225,219.2851426,11.52760603,0.1885261273,0.5636435047,49.42592935,77.36116555,11.25216549,11.15835071,2.650662802,75.83777466,397.6439549,218.7151692,11.20224792,11.74003409,604.7223371,1625.093343,149.5840898,12.79459852,180.4554324,1630.468459,102.9570015,896.1519543,1.14848771,1.435807045,11.54293665,1.246281369,431.1020016,3.859427187,55.3931703,2.738084548,9.218395207,8.316841915,178.0793837
Argentina,ARG,2010,25.2,97.4887454,118.6790844,53.2120772,7.491937758,4.361545376,1.155348134,191.8131055,12.44134097,23.63230008,65.00089056,10.1056558,17.08874489,34.69852452,42.21431114,200.7111386,11.66840432,0.2060054339,0.558104366,49.17502665,77.17568784,11.41371626,11.15770519,2.666099047,71.50229121,425.5561738,224.8281782,11.57224844,10.47583643,620.270156,1635.268246,160.1510212,12.74800385,181.88471,1629.321552,103.9452655,818.3375707,1.163542727,1.448589176,17.81559964,1.249185673,432.0631712,3.892614012,54.31748121,2.771536874,8.796206799,9.019044514,189.4721432
Argentina,ARG,2015,27.65,94.45944635,122.4997422,53.24649271,7.065204326,3.569920569,1.101383307,223.2407997,10.95484812,24.26138664,67.99284822,11.55840467,25.99358945,32.50860554,39.16307814,198.8071255,10.80474409,0.239535354,0.5591083093,49.4689302,76.08290447,11.28885361,11.01822616,2.65854713,105.6549542,427.5290882,235.9815033,11.49773966,10.44339493,634.684915,1674.317351,167.4157705,12.33447808,185.3800928,1636.868644,105.5890577,827.4758176,1.168967313,1.426569304,18.15855649,1.22550232,439.8820952,3.888591487,53.61407342,2.798265317,8.390029497,9.15674455,195.5167624
Armenia,ARM,1990,11.15,37.698001,86.98855195,106.2428709,215.5091766,14.17070785,4.911176577,276.5883898,5.339165641,26.77492753,20.29693176,9.565013781,10.55477822,4.854614406,58.63303724,24.56434858,33.56592602,0.2245259903,0.6696869988,49.46628363,54.76286907,13.0104331,21.65685812,2.555161378,41.45732811,478.2646502,145.9667453,7.270006326,0.5401619312,751.8318188,2748.966231,72.37779335,19.00180861,343.2161641,3296.698363,24.15522713,956.3757964,1.476448302,1.578452321,28.10523329,1.866219641,266.0319916,2.266406527,41.58032696,3.101317027,17.57723026,14.58990233,67.78088239
Armenia,ARM,1995,12.45,41.2489044,89.20645004,180.8725135,100.882861,14.3363414,4.84912948,218.8248432,3.983490818,38.07559778,29.87978556,7.260097986,10.47694514,5.383608237,61.05820919,24.29390466,32.80261331,0.5402698298,0.670512465,53.43355834,74.81726106,9.112200491,12.91066025,2.496760032,20.44523303,381.0396244,179.5973235,8.432558126,0.5512733341,388.3934747,2397.482704,72.67186387,17.88930656,279.2367052,2952.664555,22.90191505,761.3217255,1.359950274,1.315064398,17.50124643,1.523868054,227.8620405,2.37536824,55.58724209,2.361121925,17.65454874,10.55355579,60.89002219
Armenia,ARM,2000,13.85,27.64734303,92.02937327,107.1991933,98.06273311,14.78586913,5.102210364,227.1543125,22.59440904,57.35971386,22.00863294,8.491735162,15.68595798,10.90918853,80.03778881,30.09826805,35.64661752,1.777651251,0.6765790149,53.53442329,112.8504306,9.118222178,13.47699214,2.484764604,19.28869257,361.8407244,157.8217555,12.85841906,0.8312071088,494.0018844,2589.621674,79.98512912,17.44093494,290.8354073,2819.85335,22.44875489,638.5868062,1.37812374,1.395798884,17.82270123,1.440287555,228.7657042,2.359323482,43.15269289,2.923153672,17.74259028,10.99790644,67.37725741
Armenia,ARM,2005,15.45,77.17401776,92.92035878,128.3290702,96.90412882,14.97495887,7.53573795,256.9776688,46.10449149,79.41675823,33.70559538,21.81631758,29.33059513,16.9301388,93.62161748,64.47382469,29.25179246,1.695715734,0.6778375107,52.46620014,91.08073518,10.44012404,16.99109626,2.511078114,52.32252121,434.2713982,205.9758871,22.5474387,3.850487826,735.7488576,2797.817165,92.40944209,15.07582904,329.577365,3661.078789,23.1485089,970.7018947,1.418637167,1.568946667,19.9561764,1.785434238,284.978367,2.489394666,97.91208243,3.566060986,17.04966294,12.2648509,71.81601544
